Repeat,Fold,R2,RMSE,MAE
1,1,0.9998406381309638,0.0019036124224011183,0.0004776724537184799
1,2,0.9997530162687345,0.002383157852746998,0.0005432121790833055
1,3,0.9997804354520867,0.00223596519979358,0.0004681309187367022
1,4,0.9998570400546676,0.0017031866383666197,0.0004338159985719003
1,5,0.9997670971036405,0.002153095028224632,0.00047394351617578495
2,1,0.9998195001595572,0.001929216124199776,0.0004424981800502304
2,2,0.9998608846048738,0.0017308080286481864,0.00045251669818081614
2,3,0.999835833666423,0.0019081341516408894,0.0004998653810294361
2,4,0.9997440961212964,0.002395543617115156,0.0005179872792446979
2,5,0.9997595107625351,0.002298984220168148,0.0005003415987427797
3,1,0.9997875430167859,0.00215785927878308,0.00045107089501173934
3,2,0.9998115994205627,0.0020316578414613924,0.0005010061609719649
3,3,0.999718969503531,0.0024741163257255374,0.000543042115021045
3,4,0.9998610660825309,0.0017203153685480552,0.0004578624626449221
3,5,0.9998414619495848,0.0018603940378944246,0.0004768605079710356
4,1,0.9998561184601557,0.0017131708355065548,0.00042128397687186915
4,2,0.999816506524838,0.002026898578699561,0.0005093256499614034
4,3,0.9998317758727543,0.0019497938027232824,0.0004948554397483921
4,4,0.9994754503826586,0.0033771397655422623,0.0005275312578087377
4,5,0.9998149590431532,0.001998897495464833,0.000490336576999713
5,1,0.9997432566000275,0.002343167197604603,0.0005237601649389509
5,2,0.9998533614736834,0.0017945131229928546,0.00045297247663471965
5,3,0.9998394169780042,0.0018531493181361686,0.00045318743558185284
5,4,0.9998695796178358,0.001693332215739523,0.0004517822929947507
5,5,0.999803950659021,0.002077368478574774,0.0004921400475741382
6,1,0.9994825490319366,0.003299257848869611,0.0005555023881375297
6,2,0.9998137268515512,0.0020047019844632815,0.0004646483374891862
6,3,0.9998608870269621,0.001744065280239426,0.0004657939084661572
6,4,0.9998337663771224,0.00189032438986927,0.0004749327435274785
6,5,0.9997884061727613,0.002193877631327578,0.0004940391822143072
7,1,0.9997959992321287,0.002107174508402311,0.00047455487696253555
7,2,0.9998401431098458,0.001815623612756678,0.00047004922800317596
7,3,0.9998695044538586,0.0017203862125890767,0.00045782734561670166
7,4,0.9996713153248922,0.00267000646609118,0.0005042552883743192
7,5,0.999799882644204,0.0020967414122937383,0.00048691078786569604
8,1,0.999815684853676,0.002064817592761502,0.0005259045268737646
8,2,0.9978633319008894,0.006761756614652632,0.0005641544432430416
8,3,0.999824279569398,0.001982625942869131,0.0004725791789477261
8,4,0.9996548712156674,0.002636571768290398,0.00044803607636952037
8,5,0.9997975107984707,0.002094968298847095,0.0004941616010048559
9,1,0.999704198810766,0.0024664006501855197,0.0004825517443370891
9,2,0.999812994003133,0.0019669096700318544,0.0004813259014126431
9,3,0.9998653622526708,0.0016986390347508427,0.0004485494052400916
9,4,0.9998257637333028,0.0019770635276705213,0.0004767973430549044
9,5,0.9998316718468934,0.001993018544555734,0.0004889421387502771
10,1,0.9997877860963491,0.0021818625672643723,0.0005055931400741025
10,2,0.9998532680539435,0.0018262835564736549,0.00047736072958664476
10,3,0.9998389624683823,0.0018095756238418381,0.0004316502392596268
10,4,0.9998222212343896,0.002026336492085094,0.0005131264965115133
10,5,0.9998510461826873,0.0017303457548971779,0.00040813097488150054
