Method,Hypervolume
HC,0.7849
HC,0.7938
HC,0.8031
HC,0.7947
HC,0.7872
HC,0.8048
HC,0.7961
HC,0.7737
HC,0.7911
HC,0.7553
HC,0.7416
HC,0.7945
HC,0.8133
HC,0.7518
HC,0.7617
HC,0.7592
HC,0.7517
HC,0.76
HC,0.7817
HC,0.8157
HC,0.7487
HC,0.7986
HC,0.7488
HC,0.7637
HC,0.7875
HC,0.7863
HC,0.7844
HC,0.7773
HC,0.7569
HC,0.7357
HC,0.7252
HC,0.7249
HC,0.7502
HC,0.7903
HC,0.7674
HC,0.7792
HC,0.7366
HC,0.8152
HC,0.7561
HC,0.7859
HC,0.7536
HC,0.8143
HC,0.812
HC,0.801
HC,0.7513
HC,0.7364
HC,0.7934
HC,0.7664
HC,0.7835
HC,0.7954
NO-RL,0.7191
NO-RL,0.6717
NO-RL,0.5596
NO-RL,0.6044
NO-RL,0.662
NO-RL,0.6741
NO-RL,0.7167
NO-RL,0.6875
NO-RL,0.7129
NO-RL,0.6594
NO-RL,0.7235
NO-RL,0.6761
NO-RL,0.6438
NO-RL,0.711
NO-RL,0.7123
NO-RL,0.6949
NO-RL,0.6812
NO-RL,0.7161
NO-RL,0.7488
NO-RL,0.7598
NO-RL,0.6542
NO-RL,0.6995
NO-RL,0.661
NO-RL,0.6565
NO-RL,0.7192
NO-RL,0.6427
NO-RL,0.7017
NO-RL,0.6705
NO-RL,0.7186
NO-RL,0.7045
NO-RL,0.7112
NO-RL,0.7272
NO-RL,0.6991
NO-RL,0.6802
NO-RL,0.6998
NO-RL,0.6988
NO-RL,0.668
NO-RL,0.6779
NO-RL,0.6874
NO-RL,0.6733
NO-RL,0.6361
NO-RL,0.5786
NO-RL,0.6345
NO-RL,0.6642
NO-RL,0.6898
NO-RL,0.73
NO-RL,0.5534
NO-RL,0.634
NO-RL,0.6698
NO-RL,0.6277
RL,0.7805
RL,0.7542
RL,0.6556
RL,0.7373
RL,0.7316
RL,0.8418
RL,0.7393
RL,0.763
RL,0.7984
RL,0.7388
RL,0.7533
RL,0.8049
RL,0.7768
RL,0.8044
RL,0.7345
RL,0.737
RL,0.7845
RL,0.7408
RL,0.7624
RL,0.6723
RL,0.7669
RL,0.7245
RL,0.6643
RL,0.8224
RL,0.7926
RL,0.7611
RL,0.7624
RL,0.7888
RL,0.771
RL,0.8224
RL,0.7298
RL,0.8129
RL,0.783
RL,0.7907
RL,0.7798
RL,0.8208
RL,0.7379
RL,0.7697
RL,0.7118
RL,0.7934
RL,0.7361
RL,0.7308
RL,0.7994
RL,0.7454
RL,0.8486
RL,0.7929
RL,0.7473
RL,0.633
RL,0.761
RL,0.7497
