Method,Repeat,Fold,R2
HC,1,1,0.9997129407236014
HC,1,2,0.9995310028041323
HC,1,3,0.9994697429699053
HC,1,4,0.9989224207179362
HC,1,5,0.9880512859232409
HC,2,1,0.993002968652753
HC,2,2,0.9985838156703125
HC,2,3,0.9989561574080215
HC,2,4,0.9995455280835004
HC,2,5,0.9992562727656651
HC,3,1,0.9988765416791375
HC,3,2,0.9990605461344555
HC,3,3,0.997698621255649
HC,3,4,0.9995992071054784
HC,3,5,0.9996806336313078
HC,4,1,0.9954433020272653
HC,4,2,0.9995038943561814
HC,4,3,0.9997811946250303
HC,4,4,0.9993964811260716
HC,4,5,0.9995058288495581
HC,5,1,0.9996806628939148
HC,5,2,0.998995333573978
HC,5,3,0.9971605623814068
HC,5,4,0.9993905694092217
HC,5,5,0.9994078891129868
HC,6,1,0.9994880269100077
HC,6,2,0.9987493789171427
HC,6,3,0.999020143376673
HC,6,4,0.9990446139780298
HC,6,5,0.9993069212378037
HC,7,1,0.9935162912476482
HC,7,2,0.9981544835951089
HC,7,3,0.9996854810987023
HC,7,4,0.9989317398079299
HC,7,5,0.9994136846970664
HC,8,1,0.9994139573663646
HC,8,2,0.9996019828073954
HC,8,3,0.9990752626882339
HC,8,4,0.9991254916626067
HC,8,5,0.9987180350828433
HC,9,1,0.9993841671998603
HC,9,2,0.9984297439241331
HC,9,3,0.9995915499390328
HC,9,4,0.9996119998769248
HC,9,5,0.9968256938866
HC,10,1,0.9987583531624438
HC,10,2,0.9994489812809104
HC,10,3,0.9986476818437364
HC,10,4,0.9985764668111242
HC,10,5,0.9995796995193124
NO-RL,1,1,0.9992825742687101
NO-RL,1,2,0.9991561859362807
NO-RL,1,3,0.9988754239085251
NO-RL,1,4,0.9989993823708091
NO-RL,1,5,0.9936073827022416
NO-RL,2,1,0.99927971457379
NO-RL,2,2,0.9991043010892059
NO-RL,2,3,0.9982292050721012
NO-RL,2,4,0.9991782694953913
NO-RL,2,5,0.9992325012031776
NO-RL,3,1,0.9989908042556223
NO-RL,3,2,0.9993849330233587
NO-RL,3,3,0.9993056091612093
NO-RL,3,4,0.9878435608367174
NO-RL,3,5,0.9993138134758276
NO-RL,4,1,0.9992845500024435
NO-RL,4,2,0.9965150387991885
NO-RL,4,3,0.9994203261397571
NO-RL,4,4,0.9991470334172626
NO-RL,4,5,0.9993533813887996
NO-RL,5,1,0.9977754519029799
NO-RL,5,2,0.9991452192336777
NO-RL,5,3,0.999344947212424
NO-RL,5,4,0.9992419353951337
NO-RL,5,5,0.9991758408095797
NO-RL,6,1,0.9988711643082077
NO-RL,6,2,0.9992174905303589
NO-RL,6,3,0.9993710080289951
NO-RL,6,4,0.9994620227335775
NO-RL,6,5,0.9985024870760383
NO-RL,7,1,0.9992158518816316
NO-RL,7,2,0.9991830764902058
NO-RL,7,3,0.9978990926904008
NO-RL,7,4,0.9990060509354076
NO-RL,7,5,0.9995515236652635
NO-RL,8,1,0.9988378311936082
NO-RL,8,2,0.9989854906793859
NO-RL,8,3,0.9991954817619796
NO-RL,8,4,0.9985666360911449
NO-RL,8,5,0.9993789267070873
NO-RL,9,1,0.9993828552785181
NO-RL,9,2,0.9947208855446237
NO-RL,9,3,0.9991471108276305
NO-RL,9,4,0.9993537958159878
NO-RL,9,5,0.999018686233235
NO-RL,10,1,0.9992556708745645
NO-RL,10,2,0.9991945567718505
NO-RL,10,3,0.9995503209060432
NO-RL,10,4,0.9988951643291308
NO-RL,10,5,0.9991312164829564
RL,1,1,0.9992132005558629
RL,1,2,0.9900769495370965
RL,1,3,0.9965033191132684
RL,1,4,0.9994032571546151
RL,1,5,0.999517660833157
RL,2,1,0.9994789266293119
RL,2,2,0.9993181448416449
RL,2,3,0.9990564837863396
RL,2,4,0.9969648747075137
RL,2,5,0.9987934893561647
RL,3,1,0.998925697243971
RL,3,2,0.9994607618282457
RL,3,3,0.9990379141255393
RL,3,4,0.9995782241438104
RL,3,5,0.9950924572758866
RL,4,1,0.9994524309018175
RL,4,2,0.9995498652637008
RL,4,3,0.9994439447868853
RL,4,4,0.9986634272486138
RL,4,5,0.996829838565102
RL,5,1,0.999335905235931
RL,5,2,0.999602499269657
RL,5,3,0.9994687307353336
RL,5,4,0.9988833250581635
RL,5,5,0.9905579674214602
RL,6,1,0.9993570877256646
RL,6,2,0.9994205205789762
RL,6,3,0.999579440653335
RL,6,4,0.9993524358239732
RL,6,5,0.98980672889025
RL,7,1,0.9994259608788927
RL,7,2,0.9995883661329849
RL,7,3,0.9959497407231426
RL,7,4,0.9988665055608237
RL,7,5,0.9995787755156189
RL,8,1,0.9995740218620857
RL,8,2,0.9990121599911632
RL,8,3,0.994936671846698
RL,8,4,0.9995161987582099
RL,8,5,0.9988159908123413
RL,9,1,0.9991156950855159
RL,9,2,0.9991991310542866
RL,9,3,0.9991704366538386
RL,9,4,0.9965101974894266
RL,9,5,0.998765370108459
RL,10,1,0.9987038074244344
RL,10,2,0.9990502648499395
RL,10,3,0.999546075848572
RL,10,4,0.9994878728217752
RL,10,5,0.9994339582520559
