Method,Original_SMILES,Canonical_SMILES,UV_Filter_Score,Fingerprint,MolWt,LogP,TPSA,SA_Score,Lmax,OS,SA_inverse,LogP_score,TPSA_score,UV_Filter_Score_norm,SA_inverse_norm,TPSA_score_norm,LogP_score_norm
RL,Cc1ccc(OCCC(=O)N[C@@H](C)C2CCOCC2)cc1C,Cc1ccc(OCCC(=O)N[C@@H](C)C2CCOCC2)cc1C,0.0005120242214309508,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f261d4bd0>,305.41800000000006,3.0036400000000016,47.56,2.583133375996935,264.4755859375,0.018374040722846985,-2.583133375996935,0.999997055648779,0.9855419800738191,0.00045168829329044613,0.7846884362057583,0.985542856111524,0.9999970553662811
RL,OCC12CC1CN(c1cc(Oc3ccccc3)ccn1)C2,OCC12CC1CN(c1cc(Oc3ccccc3)ccn1)C2,0.5069758048475195,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09f281d0>,282.3430000000001,2.692500000000001,45.59,3.3134256555030674,294.4501953125,0.28351834416389465,-3.3134256555030674,0.9792067244089038,0.9992267435614104,0.5226764971442033,0.624587780149717,0.9992276317633549,0.9792047293831883
RL,O=C(Cc1ccncc1Cl)NC1CC2(C1)C(F)(F)C21CC1,O=C(Cc1ccncc1Cl)NC1CC2(C1)C(F)(F)C21CC1,0.8474077744188286,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f3b36bc90>,312.74700000000007,2.9716000000000014,41.99,3.790030135064253,292.29998779296875,0.8431563973426819,-3.790030135064253,0.9998207805061771,0.9800677710699421,0.8737026258366505,0.5201026418040183,0.9800686422416813,0.9998207633108344
RL,CCc1cccc2c(F)c(C(=O)N3CCC34COC4)[nH]c12,CCc1cccc2c(F)c(C(=O)N3CCC34COC4)[nH]c12,0.540668824739903,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f261d5120>,288.32199999999995,2.4843,45.33,3.558855687440185,293.640625,0.3239789605140686,-3.558855687440185,0.9426132384316,0.9997580292796381,0.5574180355246156,0.5707825979895546,0.9997589179538369,0.9426077324176699
RL,CC(C)CCn1cc(CN[C@@H](C(C)C)C(F)(F)F)nn1,CC(C)CCn1cc(CN[C@@H](C(C)C)C(F)(F)F)nn1,0.0005596450923343781,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09f36f20>,292.349,3.000700000000002,42.74,3.327942233509635,236.41311645507812,0.04584263637661934,-3.327942233509635,0.999999891111117,0.9887139485364371,0.0005007911139780649,0.6214053369995418,0.9887148273936709,0.9999998911006696
RL,Cc1ccc2c(c1)N(C(=O)c1cn(C)nc1C)CCN2C1CC1,Cc1ccc2c(c1)N(C(=O)c1cn(C)nc1C)CCN2C1CC1,0.7916364810266538,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09f5c400>,310.40100000000007,2.6661400000000004,41.370000000000005,2.5023662152815263,311.2898254394531,0.6392818689346313,-2.5023662152815263,0.9755348011573663,0.9711425636454563,0.8161957435180526,0.8023948748210827,0.9711434268836743,0.9755324538263452
RL,CC1(CNC(=O)Nc2cc(-n3cccc3)cc(Cl)c2)COC1,CC1(CNC(=O)Nc2cc(Cl)cc(-n3cccc3)c2)COC1,0.8593745255417993,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09f5d940>,319.79200000000014,3.288700000000002,55.290000000000006,2.588706235598668,290.0492858886719,0.6485023498535156,-2.588706235598668,0.9816487638565333,0.7903352946149862,0.8860417793098453,0.7834667082710896,0.7903359971355601,0.9816470031340413
RL,N#Cc1cccnc1Oc1ccc(NC(CCO)C2CC2)cc1,N#Cc1cccnc1Oc1ccc(NC(CCO)C2CC2)cc1,0.8848702416897362,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09f5f4c0>,309.3690000000001,3.318480000000002,78.17,2.891168018718366,314.27056884765625,1.0478484630584717,-2.891168018718366,0.9777122343011242,0.08672634689920888,0.9123309158704384,0.7171585584134856,0.08672642398932831,0.9777100958854852
RL,N#CC1(C2CCC2)CCN(c2cc(N3CCCC3)ncn2)CC1,N#CC1(C2CCC2)CCN(c2cc(N3CCCC3)ncn2)CC1,0.8454859547553024,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09fa6750>,311.43300000000005,2.9870800000000015,56.050000000000004,2.8672869601150506,324.4925231933594,0.769446611404419,-2.8672869601150506,0.9999629059324464,0.7623580979346084,0.8717209996181078,0.7223939597137556,0.762358775586552,0.9999629023734296
RL,COc1ccc(C(=O)OCc2ccc(C#N)cc2)c(OC)c1,COc1ccc(C(=O)OCc2ccc(C#N)cc2)c(OC)c1,0.0006774122330970436,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09fa6d40>,297.31,2.932480000000001,68.55,1.798026086715291,259.8565979003906,0.10817134380340576,-1.798026086715291,0.9989874129237472,0.29157733739266356,0.0006222231391816725,0.9568060877484732,0.2915775965726335,0.998987315770355
RL,CN(CCNC(=O)COc1ccccc1F)Cc1cccc(F)c1,CN(CCNC(=O)COc1ccccc1F)Cc1cccc(F)c1,0.0005860292457578333,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09fb5120>,334.366,2.5918,41.57000000000001,1.9161423062524605,242.3505096435547,0.07818052917718887,-1.9161423062524605,0.9636488872561801,0.9741945789695589,0.000527996335763568,0.9309116824953483,0.9741954449206806,0.963645399522639
RL,CCC1c2ccccc2CCN1C(=O)c1ccn(CCF)n1,CCC1c2ccccc2CCN1C(=O)c1ccn(CCF)n1,0.0005519181899911699,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09fb70b0>,301.36499999999995,3.002200000000001,38.13,2.9441495050291913,257.71630859375,0.041495323181152344,-2.9441495050291913,0.9999989244450228,0.9004307671482368,0.0004928237523353365,0.7055435229609356,0.9004315675314966,0.9999989243418279
RL,CSc1cccc(NC(=O)CNC(=O)OC(C)(C)C)c1,CSc1cccc(NC(=O)CNC(=O)OC(C)(C)C)c1,0.0009954760970128523,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09fb64d0>,296.392,2.8717000000000015,67.43,1.9387978466734896,252.63880920410156,0.23906108736991882,-1.9387978466734896,0.9963487066867176,0.32692944728932416,0.0009501850722748599,0.9259449493304244,0.3269297378934058,0.9963483563607661
RL,O=C(N[C@H]1C[C@H](Cn2cccn2)C1)c1ccc(Br)c(F)c1,O=C(N[C@H]1C[C@H](Cn2cccn2)C1)c1ccc(Br)c(F)c1,0.0005882805412915971,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e14d10>,352.207,2.9933000000000014,46.92,2.3939489659341238,259.23504638671875,0.06157124787569046,-2.3939489659341238,0.9999900244942002,0.991841462993374,0.0005303176910603541,0.8261629923753979,0.9918423446306218,0.9999900235370931
RL,Nc1cccc(CNC(=O)N2CCC(C(=O)c3ccc(F)cc3)CC2)c1,Nc1cccc(CNC(=O)N2CCC(C(=O)c3ccc(F)cc3)CC2)c1,0.7595879367795307,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e42a70>,355.41300000000007,3.2124000000000024,75.43,2.008456932291102,319.4437255859375,0.46332013607025146,-2.008456932291102,0.9900248056057277,0.12774180224865903,0.7831498564603162,0.910673713935213,0.12774191579697725,0.9900238485285588
RL,CN(CCC=Cc1ccccc1)CC1CCN(C(=O)c2cnccn2)C1,CN(CCC=Cc1ccccc1)CC1CCN(C(=O)c2cnccn2)C1,0.7941031249844552,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e26660>,350.46600000000007,2.974000000000001,49.33,2.9007487547150035,303.1559753417969,0.5466263294219971,-2.9007487547150035,0.9998497890605709,0.9591918017973435,0.8187391488288405,0.7150581909830663,0.9591926544126573,0.9998497746484747
RL,O=C(O)c1cnc(N2CCN(c3ccccc3)CC2)c(Cl)c1,O=C(O)c1cnc(N2CCN(c3ccccc3)CC2)c(Cl)c1,0.6212921249584374,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e27ab0>,317.77600000000007,2.759800000000001,56.67,1.8991607198241187,304.07611083984375,0.36967888474464417,-1.8991607198241187,0.9872605010324409,0.7388635621835391,0.6405503130065429,0.9346345249850545,0.7388642189514415,0.9872592787320904
RL,CC1(C)CC1CCC(=O)N1C[C@@H](F)C[C@H]1CNC(=O)C(F)C1CCC1,CC1(C)CC1CCC(=O)N1C[C@@H](F)C[C@H]1CNC(=O)C(F)C1CCC1,0.2219281080455225,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e6c310>,356.4570000000001,3.0061000000000018,49.410000000000004,4.254436569390464,295.6565246582031,-0.002675197785720229,-4.254436569390464,0.9999917311452983,0.9577025881442325,0.22875818616094412,0.4182916588609227,0.9577034394358003,0.999991730351937
RL,Cc1ccnc(NC(=O)N2C[C@H]3CC[C@@H]3C2)c1Br,Cc1ccnc(NC(=O)N2C[C@H]3CC[C@@H]3C2)c1Br,0.4483472551235912,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e6d8a0>,310.19499999999994,3.0262200000000012,45.230000000000004,3.3412964393141618,324.30670166015625,0.22124499082565308,-3.3412964393141618,0.9998472364695365,0.999882451353828,0.4622234413799082,0.6184777186056325,0.9998833401386242,0.9998472218125303
RL,O=C(Nc1cccc(-c2cnccn2)c1)C1CC2CCC(C1)S2,O=C(Nc1cccc(-c2cnccn2)c1)C1CC2CCC(C1)S2,0.9182586329121565,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09f89940>,325.43700000000007,3.756300000000003,54.88,4.29391808921109,295.8983459472656,0.9237571954727173,-4.29391808921109,0.8806378363734475,0.8049936507281605,0.9467583456116399,0.4096361966538644,0.8049943662783902,0.8806263840851899
RL,O=C(CCOc1ccccc1)N1CCN(Cc2cccc(F)c2)CC1,O=C(CCOc1ccccc1)N1CCN(Cc2cccc(F)c2)CC1,0.0004716356384179835,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e9be20>,342.41400000000004,2.939000000000002,32.78,1.7826415417614676,260.1048278808594,-0.004227935802191496,-1.7826415417614676,0.9991734528895176,0.7176014921421511,0.0004100428275127506,0.9601788137231974,0.7176021300104273,0.9991733735858633
RL,COC(CNC1(c2cccc(F)c2)CC1)c1ccc(C#N)cc1,COC(CNC1(c2cccc(F)c2)CC1)c1ccc(C#N)cc1,0.0009514201530168498,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e594e0>,310.372,3.6637800000000027,45.05,2.9668482876801754,258.2568664550781,0.19397319853305817,-2.9668482876801754,0.90672871485497,0.9999944444598765,0.0009047581181427842,0.7005673098801214,0.9999953333442222,0.9067197658747305
RL,O=C(NCCN1CCN(C2CC2)CC1)c1ccc2ccccc2c1Cl,O=C(NCCN1CCN(C2CC2)CC1)c1ccc2ccccc2c1Cl,0.5442780511839391,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e84d10>,357.885,3.003000000000002,35.580000000000005,2.0824358515612573,310.5906066894531,0.29474613070487976,-2.0824358515612573,0.999998000002,0.8210329798462791,0.5611395802074485,0.8944554492186827,0.8210337096536965,0.9999979998101087
RL,Cc1ccc(F)cc1NC(=O)CCN1C(=O)CCc2ccccc21,Cc1ccc(F)cc1NC(=O)CCN1C(=O)CCc2ccccc21,0.632750936684814,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09e6d3a0>,326.371,3.442120000000002,49.410000000000004,1.9450359714108316,319.1157531738281,0.3390125036239624,-1.9450359714108316,0.9574921094394918,0.9577025881442325,0.652365720134113,0.924577376522886,0.9577034394358003,0.9574880309894945
RL,CC(C)(C)OC(=O)NC(C)(CNc1cc(C#N)ccn1)C1CC1,CC(C)(C)OC(=O)NC(C)(CNc1cc(C#N)ccn1)C1CC1,0.8544041959510995,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09ede0c0>,316.4050000000001,3.058580000000002,87.04,3.2834311813621753,297.4149475097656,0.7917742133140564,-3.2834311813621753,0.9992377092690938,0.0196934295899509,0.8809167742853586,0.6311634144851372,0.01969344709522838,0.9992376361305638
RL,O=C(CNC(=O)c1ccccc1Cl)Nc1ccc(C(=O)O)cc1,O=C(CNC(=O)c1ccccc1Cl)Nc1ccc(C(=O)O)cc1,0.0008346867613982206,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09d3ef20>,332.7430000000001,2.4067,95.50000000000001,1.6009989075892186,272.8860778808594,0.20263035595417023,-1.6009989075892186,0.9247578968260052,0.003457455993922392,0.0007843920121021952,1.0,0.003457459067216911,0.9247506776685396
RL,Cc1ncc2ccc(N3CCC(NC4CCC4)CC3)nc2c1Cl,Cc1ncc2ccc(N3CCC(NC4CCC4)CC3)nc2c1Cl,0.8431209640268063,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09d4d3f0>,330.86299999999994,3.7025200000000025,41.050000000000004,2.603690821924882,294.55438232421875,0.5262155532836914,-2.603690821924882,0.896125955915159,0.965921972132274,0.8692824109601068,0.7801816645031646,0.9659228307299642,0.8961159896456209
RL,CC(C)c1nccn1CC(=O)N(C)C(C)C1CCSCC1,CC(C)c1nccn1CC(=O)N(C)C(C)C1CCSCC1,0.0010342812825192855,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09d20590>,309.47900000000004,2.9966000000000017,38.13,3.385009821325003,256.12091064453125,0.24698837101459503,-3.385009821325003,0.9999974311144108,0.9004307671482368,0.000990197865605253,0.6088945129018876,0.9004315675314966,0.9999974308679371
RL,O=C(OC1(c2ccccn2)CC1)c1ccc2c(c1)C=CC2,O=C(OC1(c2ccccn2)CC1)c1ccc2c(c1)C=CC2,0.8810428186450204,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09d94f90>,277.323,3.4970000000000026,39.19,2.8670766595242245,299.1266174316406,0.6686834692955017,-2.8670766595242245,0.9465884256338954,0.9277309103354201,0.9083843843624057,0.7224400635320557,0.9277317349854846,0.9465833010221479
RL,Cc1ccc(C(=O)N2CCC3(CCCN(CCCF)C3)CC2)[nH]1,Cc1ccc(C(=O)N2CCC3(CCCN(CCCF)C3)CC2)[nH]1,0.0008491026580773092,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09d95530>,321.44000000000005,3.0009200000000016,39.34,3.2813589278092756,271.7013244628906,0.17839089035987854,-3.2813589278092756,0.9999998119111287,0.9312847242277263,0.00079925652793854,0.631617710884872,0.9312855520367379,0.9999998118930824
RL,Cc1ccc2c(CCNC(=O)C(C)CC3CCC3)c[nH]c2c1,Cc1ccc2c(CCNC(=O)C(C)CC3CCC3)c[nH]c2c1,0.001983788024636274,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09d209f0>,298.42999999999995,3.9613200000000024,44.89,2.7175616638381257,269.0962219238281,0.7225189208984375,-2.7175616638381257,0.8143511749145433,0.999973111472614,0.0019692530238867045,0.7552179657108224,0.9999740003379971,0.8143333627050879
RL,COc1ccc(NC(=O)CNC(=O)c2cc(C)ccc2OC)cc1C,COc1ccc(NC(=O)CNC(=O)c2cc(C)ccc2OC)cc1C,0.000988715184824837,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09d7ab60>,342.3950000000001,2.689140000000001,76.66000000000001,1.7811047478823259,272.091796875,0.24607831239700317,-1.7811047478823259,0.9787547204023683,0.10780223489162452,0.0009432137621632474,0.9605157222667737,0.10780233071587496,0.9787526820088048
RL,N#Cc1ccc(N2CC(Nc3ccc(O)nn3)CC3(CC3)C2)c(Cl)c1,N#Cc1ccc(N2CC(Nc3ccc(O)nn3)CC3(CC3)C2)c(Cl)c1,0.8696161124991156,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f2f09dc3560>,355.8290000000002,3.1782800000000018,85.07000000000001,3.8644705957835077,322.44866943359375,0.8744149804115295,-3.8644705957835077,0.9929618273458695,0.02821191453885267,0.8966020819330711,0.5037831941900762,0.028211939616120146,0.9929611520633546
