Method,Original_SMILES,Canonical_SMILES,UV_Filter_Score,Fingerprint,MolWt,LogP,TPSA,SA_Score,Lmax,OS,SA_inverse,LogP_score,TPSA_score,UV_Filter_Score_norm,SA_inverse_norm,TPSA_score_norm,LogP_score_norm,Lmax_reward_score,OS_reward_score,LogP_reward_score,InChIKey,Found_In_PubChem,Novel_Suggested
RL,COc1ccc(C(O)CN2CCc3cccc(F)c32)cc1OCC(C)C,COc1ccc(C(O)CN2CCc3cccc(F)c32)cc1OCC(C)C,0.931944818232506,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e86c090>,359.4410000000001,3.965200000000003,41.93000000000001,2.7960029502671078,293.7012634277344,0.9627149701118468,-2.7960029502671078,0.8129995885235438,0.9792735847505432,0.9608704416513256,0.7380214243100937,0.9792744552163388,0.8129816466351643,1.0,0.9964140866205684,0.8123267131199525,TWDXMWVNOVSEAM-UHFFFAOYSA-N,,False
RL,O=C(Nc1cccc(-c2cnccn2)c1)C1CC2CCC(C1)S2,O=C(Nc1cccc(-c2cnccn2)c1)C1CC2CCC(C1)S2,0.9182586329121564,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e8e8900>,325.43700000000007,3.756300000000003,54.88,4.29391808921109,295.8983459472656,0.9237571954727172,-4.29391808921109,0.8806378363734475,0.8049936507281605,0.94675834561164,0.4096361966538644,0.8049943662783902,0.8806263840851899,1.0,0.9947149385449372,0.7783885158641176,PEPLFUWBBHRNFM-UHFFFAOYSA-N,,False
RL,N#Cc1cccc(N2CCC[C@@H]2CNC(=O)c2ccc(Cl)cc2)c1,N#Cc1cccc(N2CCC[C@@H]2CNC(=O)c2ccc(Cl)cc2)c1,0.8927002568779708,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e88aac0>,339.826,3.6104800000000017,56.13,2.51148771437426,295.4494934082031,0.6858229637145996,-2.51148771437426,0.9205176782680368,0.7593579540854869,0.9204045992045572,0.8003951850667986,0.7593586290706347,0.9205100522797652,1.0,0.94574252748313,0.7522185874466486,XRIXIKRFHHOZCE-GOSISDBHSA-N,,False
RL,Cc1ccc(-c2nnc(N3CCC(C)C3)n2CCC#N)c(C)c1,Cc1ccc(-c2nnc(N3CCC(C)C3)n2CCC#N)c(C)c1,0.8855058620532427,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e76fb50>,309.417,3.321820000000001,57.74,2.952957400106209,290.4570007324219,1.1819069385528564,-2.952957400106209,0.9772476919534,0.6971995884992362,0.9129863165832468,0.7036125840480157,0.6972002082324789,0.977245508966913,1.0,0.999598165923817,0.6946225389606273,YIOFEWKJISVCEG-UHFFFAOYSA-N,,False
RL,N#Cc1cccnc1Oc1ccc(NC(CCO)C2CC2)cc1,N#Cc1cccnc1Oc1ccc(NC(CCO)C2CC2)cc1,0.8848702416897362,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898ebc9d50>,309.3690000000001,3.318480000000002,78.17,2.891168018718366,314.27056884765625,1.0478484630584717,-2.891168018718366,0.9777122343011242,0.0867263468992088,0.9123309158704384,0.7171585584134856,0.0867264239893283,0.9777100958854852,1.0,0.9984662193656842,0.6939135910708356,UWLVNLQCLMEUBN-UHFFFAOYSA-N,,False
HC,C[C@@H]1CCCC[C@@H]1Nc1cn(C2CC2)nc1-c1ccccc1,C[C@@H]1CCCC[C@@H]1Nc1cn(C2CC2)nc1-c1ccccc1,0.9698934252684394,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e393c40>,295.43,4.875600000000004,29.85,3.0583400464139805,290.6635131835937,0.9870022535324096,-3.0583400464139805,0.4576044657020015,0.6004655547839324,1.0,0.6805097370314682,0.600466088531329,0.4575524251740845,1.0,0.9971851361047982,0.914947657683912,MEOAITUSXAMTTP-PBHICJAKSA-N,,False
HC,COc1cc(Cl)ccc1-c1ccc2c(c1)N(CCC1COC1)CCO2,COc1cc(Cl)ccc1-c1ccc2c(c1)N(CCC1COC1)CCO2,0.9061206705598868,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e3bd170>,359.85300000000024,4.250900000000004,30.930000000000003,2.410637774638179,325.3357849121094,0.5929027199745178,-2.410637774638179,0.7062949149020044,0.6440866578831956,0.9342426528578208,0.8225043350168403,0.6440872304049233,0.706266735157309,1.0,0.8731417065056507,0.8520662823175649,PZKZAHUESWUVFU-UHFFFAOYSA-N,,False
HC,CCc1ccc(C(=O)N2CCC(CCN(C)c3ccccc3)CC2)[nH]1,CCc1ccc(C(=O)N2CCC(CCN(C)c3ccccc3)CC2)[nH]1,0.9055103046929333,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e3bcc20>,339.483,3.955800000000002,39.34,2.4838550823304875,290.738525390625,0.6384360194206238,-2.4838550823304875,0.816268511446962,0.9312847242277263,0.933613292555284,0.8064530370295154,0.931285552036738,0.8162508831977331,1.0,0.9156268889787696,0.8108894550704174,ALDHHXXLEXHBQJ-UHFFFAOYSA-N,,False
HC,O=C(NC(CNc1nc2ccccc2s1)C1CC1)C1(CC2CC2)CC1,O=C(NC(CNc1nc2ccccc2s1)C1CC1)C1(CC2CC2)CC1,0.9051640720000884,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e3d9080>,355.5070000000003,4.183300000000003,54.02,3.2213200709096528,298.8721618652344,0.5986612439155579,-3.2213200709096528,0.7326000877277803,0.8346015205890004,0.9332562851862372,0.6447799209317655,0.8346022624573483,0.7325744318517274,1.0,0.8793842887452987,0.8433410111965348,FPRKCCPPBYVWEU-UHFFFAOYSA-N,,False
HC,CC1CC(Nc2nc(-c3ccc(OC(F)(F)F)cc3)ns2)=NN1C,CC1CC(Nc2nc(-c3ccc(OC(F)(F)F)cc3)ns2)=NN1C,0.9025232038821528,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f898e3a4590>,357.361,3.553100000000001,62.64000000000001,3.4530020057934188,310.2652893066406,0.8772118091583252,-3.4530020057934188,0.93427716377062,0.50083027888079,0.930533233902324,0.5939887092318306,0.5008307240634574,0.9342708579460376,1.0,0.9916085749578136,0.7413697398040087,HFKOIESKTFYJIX-UHFFFAOYSA-N,,False
